time_1,gyro_X,time_2,gyro_Y,time_3,gyro_Z,time_4
422536,3.05,422690,-2.08,422738,4.88,422786
433748,3.17,433817,-1.89,433850,4.64,433886
443866,2.87,443937,-1.89,443975,4.58,444010
453989,3.17,454058,-1.71,454091,4.58,454127
473524,2.26,473595,-1.77,473622,4.64,473656
483661,3.23,483730,-1.83,483763,4.64,483799
493785,3.48,493856,-2.32,493883,4.15,493917
503881,4.52,503960,-2.99,503993,4.27,504029
514009,5.07,514079,-2.99,514106,4.52,514140
524125,4.27,524194,-2.81,524227,4.27,524263
534231,-1.89,534302,1.34,534328,4.27,534363
588311,2.14,588380,-0.98,588412,4.58,588449
598432,3.54,598503,-2.32,598529,4.46,598564
608556,3.48,608626,-1.89,608658,4.82,608695
618695,2.93,618767,-1.65,618793,4.70,618827
628792,2.20,628861,-1.59,628894,4.46,628930
638911,2.14,638989,-0.98,639016,4.21,639050
649028,2.14,649097,-1.53,649129,4.09,649166
659125,2.62,659196,-1.89,659223,4.64,659257
669237,3.17,669306,-1.89,669339,4.46,669375
679366,2.56,679437,-1.59,679464,4.15,679498
689459,2.26,689528,-1.28,689561,4.39,689597
699587,2.20,699658,-1.77,699684,4.76,699719
752789,2.69,752858,-1.53,752890,4.46,752927
777817,1.95,777888,-1.40,777914,4.46,777960
787929,2.50,788004,-0.92,788037,4.39,788073
798045,1.95,798116,-1.34,798143,4.27,798177
808136,2.20,808205,-1.04,808238,4.46,808274
818262,1.77,818333,-1.46,818360,4.39,818394
828380,2.32,828449,-1.53,828481,4.09,828518
838486,2.87,838557,-1.95,838584,4.46,838618
848602,3.05,848671,-2.20,848703,4.94,848740
858727,3.23,858798,-2.26,858825,4.52,858859
878275,2.32,878344,-1.71,878377,4.27,878413
929628,2.56,929699,-1.65,929725,4.33,929760
939731,2.38,939800,-1.53,939833,4.64,939869
949833,2.32,949904,-1.71,949931,4.52,949977
959928,2.32,960005,-1.16,960037,4.21,960074
970022,2.26,970093,-1.46,970119,4.46,970154
980127,2.20,980196,-1.53,980229,4.58,980265
990228,1.95,990299,-1.46,990326,4.64,990360
1000327,2.62,1000396,-1.65,1000429,4.64,1000465
1010465,2.44,1010536,-1.46,1010563,4.46,1010598
1020573,2.38,1020642,-1.40,1020674,4.21,1020711
1030680,2.38,1030751,-1.53,1030778,4.33,1030812
1040780,2.56,1040849,-1.71,1040882,4.46,1040919
1096354,2.14,1096425,-1.40,1096452,4.39,1096486
1106284,1.83,1106353,-1.34,1106386,4.52,1106423
1116220,2.32,1116291,-1.28,1116317,4.33,1116352
1141117,2.75,1141186,-1.77,1141219,4.09,1141255
1151071,2.69,1151142,-2.14,1151168,4.82,1151203
1161026,2.50,1161095,-1.53,1161128,4.52,1161164
1170994,2.01,1171065,-1.34,1171092,4.39,1171126
1180957,1.95,1181026,-1.59,1181059,4.27,1181096
1190895,2.20,1190977,-1.71,1191004,4.27,1191038
1200839,3.11,1200908,-1.65,1200941,4.46,1200989
1225628,2.32,1225699,-1.65,1225725,4.15,1225760
1235496,2.87,1235565,-1.95,1235598,4.27,1235634
1245472,3.23,1245544,-1.77,1245570,4.27,1245605
1255461,2.75,1255531,-1.22,1255564,4.70,1255600
1265457,2.38,1265529,-1.71,1265556,4.27,1265590
1275428,2.69,1275498,-1.46,1275530,4.58,1275567
1285422,2.56,1285493,-1.53,1285519,4.15,1285554
1304870,2.08,1304939,-1.22,1304978,4.52,1305015
1314827,2.20,1314898,-1.28,1314925,5.07,1314971
1324862,2.44,1324932,-1.28,1324976,4.46,1325013
1334854,2.14,1334925,-1.22,1334963,4.76,1334998
1352758,2.32,1352827,-1.34,1352860,4.27,1352896
1362633,2.20,1362704,-1.53,1362731,4.52,1362765
1372608,2.62,1372677,-1.77,1372710,4.39,1372746
1382610,2.56,1382681,-1.53,1382707,4.03,1382742
1392593,2.93,1392662,-1.59,1392695,4.52,1392732
1402558,2.56,1402629,-1.89,1402656,4.21,1402690
1412547,2.81,1412616,-1.83,1412648,4.82,1412685
1437449,2.50,1437520,-1.40,1437546,4.52,1437581
1447421,2.69,1447490,-1.77,1447523,4.76,1447559
1457428,2.20,1457499,-1.71,1457526,4.52,1457561
1467432,2.44,1467501,-1.77,1467534,4.39,1467571
1489111,2.20,1489182,-1.10,1489208,4.27,1489243
1499011,2.38,1499080,-1.59,1499113,4.33,1499149
1509009,2.20,1509080,-1.34,1509107,4.46,1509141
1519022,3.36,1519091,-0.73,1519124,4.39,1519161
1529031,1.83,1529102,-1.95,1529129,4.27,1529164
1539016,2.87,1539085,-1.28,1539118,4.82,1539154
1549026,2.56,1549097,-1.16,1549124,4.46,1549159
1559034,1.65,1559104,-1.77,1559136,3.97,1559173
1569032,3.48,1569103,-1.40,1569130,5.31,1569164
1579038,13.61,1579109,2.32,1579142,3.23,1579178
1601511,-3.17,1601594,-4.27,1601621,4.39,1601656
1613921,-0.18,1614002,1.77,1614034,3.30,1614071
1625576,2.08,1625651,-1.77,1625677,4.76,1625712
1637256,2.99,1637329,-0.98,1637362,3.42,1637398
1648968,-0.18,1649044,-0.49,1649070,4.21,1649105
1670041,-1.04,1670114,-3.36,1670147,6.47,1670184
1681709,6.77,1681784,-4.94,1681811,4.39,1681846
1693357,6.47,1693430,-4.09,1693463,5.00,1693499
1705009,9.09,1705084,-5.55,1705111,-0.12,1705145
1716674,12.02,1716749,-5.55,1716782,-10.38,1716820
1728324,-5.37,1728399,-0.37,1728426,-12.82,1728463
1762747,-0.67,1762821,-1.71,1762853,-4.39,1762890
1774382,-1.83,1774458,0.55,1774484,-10.25,1774520
1786126,-1.71,1786199,-1.10,1786232,-10.31,1786270
1797903,0.92,1797985,-2.93,1798011,-9.52,1798046
1809672,1.10,1809745,-2.01,1809778,-8.24,1809815
1821439,3.11,1821515,-2.87,1821542,-3.60,1821576
1833222,2.50,1833295,-1.71,1833327,0.43,1833364
1845017,2.38,1845092,-1.53,1845119,2.93,1845153
1856772,-0.67,1856845,-0.85,1856877,2.81,1856914
1868545,-1.04,1868621,-0.85,1868647,2.32,1868682
1888175,2.81,1888248,-1.77,1888281,1.89,1888317
1899816,-0.18,1899891,-0.98,1899918,4.76,1899960
1911578,-1.83,1911651,-2.62,1911684,14.53,1911723
1923357,7.08,1923433,-2.99,1923459,9.52,1923494
1935140,-4.03,1935213,-1.10,1935245,6.59,1935282
1946898,-7.81,1946981,1.83,1947007,1.46,1947042
1958664,-7.93,1958737,2.62,1958770,6.65,1958807
1970444,4.58,1970520,-3.48,1970546,9.83,1970581
1982208,13.31,1982283,-4.94,1982316,13.06,1982354
1993994,4.82,1994069,-1.59,1994096,23.62,1994132
2005770,9.58,2005843,-2.14,2005876,21.36,2005914
2025379,4.15,2025454,-0.79,2025481,5.49,2025515
2037042,0.49,2037115,2.14,2037147,4.33,2037184
2048797,3.97,2048873,-2.14,2048899,5.00,2048933
2060570,7.57,2060644,-4.70,2060676,5.98,2060713
2096848,-5.00,2096923,5.19,2096958,2.69,2096992
2108618,0.43,2108691,1.71,2108724,3.05,2108760
2120412,5.86,2120487,-1.28,2120514,2.81,2120548
2132197,4.33,2132270,-0.37,2132303,2.75,2132340
2143982,-1.59,2144057,3.30,2144084,3.17,2144118
2155763,-0.12,2155836,2.14,2155868,3.17,2155905
2175393,9.40,2175468,-5.00,2175494,0.43,2175528
2187016,16.60,2187091,-12.88,2187126,-2.20,2187163
2198745,20.14,2198822,-15.50,2198850,2.56,2198885
