time_1,gyro_X,time_2,gyro_Y,time_3,gyro_Z,time_4,acceleration_X,time_5,acceleration_Y,time_6,acceleration_Z,time_7,Resultant g,time_8,Temperature,time_9,Pressure,time_10,Altitude,time_11,Pressure at sealevel (calculated),time_12,Latitude,time_13,Longitude,time_14,GPS_Altitude,time_15,speed,time_16,course,time_17
3341276,-0.08,3342323,-0.02,3342670,-0.01,3343019,1.29,3343369,-0.58,3343718,11.81,3344148,12.52,3344497,14.90,3350583,101372,3384191,-3.66,3421402,101364,3456080,55.585422,3456162,38.081682,3456245,60.40,3456287,0.47,3456347,0.00,3456403
3524833,-0.07,3525450,-0.03,3525626,-0.01,3525878,1.37,3526060,-0.60,3526237,11.81,3526493,12.57,3526753,14.90,3534422,101368,3568156,-3.33,3605047,101362,3641623,55.585680,3642054,38.081932,3642318,109.10,3642660,0.01,3643008,0.00,3643184
3662135,-0.06,3662228,-0.02,3662258,-0.01,3662284,1.41,3662311,-0.62,3662337,11.85,3662365,12.64,3662401,14.80,3668564,101352,3704212,-1.58,3742002,101337,3776078,55.585689,3776136,38.081937,3776174,109.10,3776214,0.05,3776255,0.00,3776281
3842740,-0.06,3843434,-0.03,3843611,-0.02,3843788,1.30,3844046,-0.59,3844222,11.82,3844479,12.53,3844664,14.50,3851565,101281,3885156,4.33,3922055,101265,3957078,55.585693,3957132,38.081939,3957170,111.80,3957211,0.04,3957252,0.00,3957278
3975027,-0.04,3975124,-0.02,3975150,-0.01,3975176,1.41,3975202,-0.64,3975228,11.88,3975257,12.65,3975293,14.40,3981565,101265,4017149,5.00,4052263,101265,4086078,55.585696,4086136,38.081936,4086174,110.90,4086215,0.09,4086256,0.00,4086282
4109462,-0.05,4110078,-0.03,4110255,-0.01,4110507,1.34,4110683,-0.62,4110859,11.83,4111119,12.55,4111379,14.50,4118439,101260,4153152,5.00,4187267,101262,4222648,55.585695,4223084,38.081932,4223346,110.30,4223684,0.12,4224031,0.00,4224207
4296340,-0.06,4296437,-0.03,4296463,-0.01,4296490,1.36,4296516,-0.62,4296542,11.80,4296574,12.55,4296610,14.50,4303445,101258,4340185,5.66,4374263,101264,4409644,55.585695,4410158,38.081932,4410421,110.30,4410685,0.12,4411033,0.00,4411208
4448131,-0.05,4448222,-0.02,4448248,-0.01,4448274,1.36,4448301,-0.60,4448327,11.85,4448355,12.60,4448391,14.50,4454565,101256,4488152,5.83,4525021,101250,4560076,55.585693,4560130,38.081925,4560168,109.90,4560213,0.07,4560255,0.00,4560280
4648618,-0.06,4649315,-0.03,4649491,-0.01,4649668,1.38,4649925,-0.59,4650102,11.82,4650360,12.60,4650620,14.50,4657418,101260,4691152,5.25,4728918,101257,4764080,55.585694,4764134,38.081922,4764172,109.70,4764212,0.06,4764254,0.00,4764280
4781908,-0.05,4782006,-0.02,4782032,-0.01,4782059,1.34,4782085,-0.57,4782111,11.84,4782139,12.61,4782176,14.50,4788565,101256,4824220,5.33,4859267,101263,4894213,55.585693,4894564,38.081916,4894827,109.70,4895175,0.06,4895442,0.00,4895693
4957427,-0.05,4957525,-0.02,4957551,-0.01,4957578,1.39,4957604,-0.60,4957630,11.83,4957662,12.62,4957698,14.50,4963565,101255,4999224,5.16,5036843,101261,5071080,55.585691,5071134,38.081916,5071172,108.80,5071213,0.04,5071254,0.00,5071280
5088993,-0.06,5089084,-0.03,5089110,-0.01,5089137,1.31,5089163,-0.58,5089189,11.87,5089217,12.60,5089253,14.50,5095565,101259,5132203,5.33,5167267,101265,5202694,55.585694,5203209,38.081914,5203471,109.00,5203732,0.06,5204079,0.00,5204256
5247459,-0.06,5247557,-0.03,5247583,-0.01,5247609,1.31,5247635,-0.67,5247662,11.91,5247694,12.56,5247730,14.50,5253565,101265,5287152,5.83,5323954,101259,5359080,55.585695,5359134,38.081914,5359172,109.00,5359212,0.03,5359253,0.00,5359279
5376945,-0.06,5377036,-0.02,5377062,-0.01,5377089,1.28,5377115,-0.66,5377141,11.82,5377169,12.45,5377205,14.50,5383565,101268,5419194,5.16,5454267,101268,5488076,55.585695,5488134,38.081915,5488172,108.80,5488213,0.05,5488254,0.00,5488280
5527741,-0.05,5528436,-0.03,5528617,-0.01,5528869,1.36,5529051,-0.60,5529227,11.87,5529483,12.62,5529743,14.50,5537412,101266,5572152,5.75,5606262,101261,5641702,55.585694,5642138,38.081915,5642478,108.90,5642739,0.07,5643087,0.00,5643264
5671711,-0.06,5671798,-0.03,5671829,-0.01,5671855,1.34,5671881,-0.62,5671907,11.79,5671944,12.50,5671979,14.50,5677565,101257,5713227,5.58,5748414,101261,5782078,55.585694,5782132,38.081915,5782170,108.90,5782210,0.07,5782252,0.00,5782278
5821311,-0.06,5822007,-0.03,5822183,-0.01,5822360,1.37,5822536,-0.63,5822788,11.86,5823051,12.60,5823311,14.50,5830458,101261,5865156,5.33,5902042,101261,5938785,55.585696,5939221,38.081915,5939485,108.80,5939749,0.02,5940097,0.00,5940273
5962512,-0.06,5962604,-0.03,5962630,-0.01,5962656,1.39,5962682,-0.62,5962708,11.76,5962737,12.52,5962773,14.50,5968562,101267,6004168,4.91,6042042,101263,6076076,55.585696,6076130,38.081915,6076168,108.80,6076213,0.02,6076254,0.00,6076280
6107817,-0.06,6108512,-0.03,6108689,-0.01,6108866,1.35,6109124,-0.62,6109299,11.76,6109558,12.49,6109820,14.50,6117486,101260,6152157,5.25,6186265,101262,6221756,55.585697,6222192,38.081916,6222455,108.90,6222719,0.03,6223067,0.00,6223242
6254972,-0.06,6255063,-0.03,6255089,-0.01,6255116,1.40,6255142,-0.60,6255168,11.87,6255196,12.67,6255232,14.50,6261562,101259,6297199,5.75,6335075,101263,6369076,55.585697,6369134,38.081916,6369172,108.90,6369213,0.03,6369254,0.00,6369280
6408137,-0.06,6408829,-0.02,6409088,-0.01,6409264,1.36,6409440,-0.69,6409617,11.69,6409871,12.36,6410138,14.50,6417452,101262,6452153,5.08,6486265,101261,6521700,55.585698,6522137,38.081915,6522400,109.00,6522663,0.03,6523012,0.00,6523188
6564506,-0.06,6564593,-0.02,6564623,-0.01,6564649,1.36,6564676,-0.68,6564702,11.89,6564734,12.57,6564770,14.50,6570562,101259,6604161,5.66,6642009,101262,6677078,55.585699,6677132,38.081915,6677170,109.00,6677210,0.03,6677251,0.00,6677277
6697393,-0.06,6698090,-0.02,6698266,-0.01,6698442,1.36,6698618,-0.65,6698869,11.82,6699053,12.54,6699314,14.50,6706453,101259,6743202,5.25,6777267,101260,6812654,55.585700,6813167,38.081914,6813430,109.10,6813695,0.06,6814043,0.00,6814218
6858211,-0.05,6858302,-0.03,6858328,-0.01,6858355,1.30,6858381,-0.60,6858407,11.87,6858439,12.56,6858475,14.50,6864562,101260,6898161,5.16,6936079,101260,6971078,55.585700,6971132,38.081914,6971170,109.10,6971210,0.05,6971251,0.00,6971277
6990945,-0.06,6991042,-0.02,6991068,-0.01,6991095,1.25,6991121,-0.70,6991147,11.85,6991175,12.40,6991212,14.50,6998447,101269,7035196,5.25,7070267,101255,7105648,55.585701,7106162,38.081915,7106425,109.30,7106690,0.07,7107038,0.00,7107214
