time_1,gyro_X,time_2,gyro_Y,time_3,gyro_Z,time_4,acceleration_X,time_5,acceleration_Y,time_6,acceleration_Z,time_7,Resultant g,time_8,Temperature,time_9,Pressure,time_10,Altitude,time_11,Pressure at sealevel (calculated),time_12,Latitude,time_13,Longitude,time_14,GPS_Altitude,time_15,speed,time_16,course,time_17
3404569,-0.11,3404725,-0.02,3404771,0.00,3404815,2.55,3404862,-0.24,3404910,11.78,3404966,14.09,3405017,7.10,3410568,101434,3447414,-9.99,3482326,101436,3517711,55.585712,3518243,38.081956,3518757,108.30,3519197,0.13,3519632,0.00,3520068
3607705,-0.09,3607792,-0.04,3607822,-0.00,3607848,2.32,3607875,-0.30,3607900,12.00,3607940,14.03,3607976,7.10,3613565,101435,3649260,-9.24,3684265,101434,3719638,55.585715,3720074,38.081938,3720337,106.50,3720675,0.09,3721023,0.00,3721199
3760471,-0.07,3761089,-0.03,3761344,-0.01,3761521,2.56,3761698,-0.42,3761956,11.86,3762134,14.00,3762393,7.10,3768565,101436,3802149,-9.65,3838842,101434,3874080,55.585709,3874134,38.081951,3874172,107.50,3874212,0.08,3874253,0.00,3874279
3948241,-0.06,3948854,-0.06,3949036,-0.02,3949287,2.05,3949464,-0.34,3949640,12.16,3949899,13.88,3950166,7.20,3957480,101432,3992157,-9.57,4029057,101440,4065637,55.585707,4066073,38.081952,4066336,107.50,4066674,0.10,4067020,0.00,4067197
4085992,-0.04,4086089,-0.02,4086115,-0.02,4086141,2.67,4086168,-0.23,4086194,11.81,4086222,14.25,4086258,7.20,4092565,101437,4128150,-9.07,4165949,101444,4200078,55.585707,4200130,38.081952,4200168,107.50,4200208,0.10,4200249,0.00,4200275
4218990,-0.05,4219083,-0.02,4219109,-0.02,4219136,2.54,4219162,-0.29,4219188,11.88,4219216,14.13,4219252,7.20,4226420,101447,4263169,-9.65,4298263,101435,4333681,55.585702,4334193,38.081954,4334456,107.50,4334721,0.05,4335068,0.00,4335244
4416621,-0.07,4416713,-0.02,4416739,-0.01,4416769,2.64,4416795,-0.32,4416821,11.86,4416854,14.18,4416890,7.20,4423417,101427,4460164,-8.99,4495263,101446,4530721,55.585700,4531078,38.081956,4531341,107.50,4531680,0.10,4532028,0.00,4532204
4568467,-0.06,4568561,-0.02,4568587,-0.01,4568613,2.60,4568639,-0.20,4568665,11.62,4568693,14.03,4568729,7.20,4574565,101442,4608153,-9.65,4645005,101440,4680076,55.585697,4680136,38.081957,4680174,107.70,4680215,0.11,4680256,0.00,4680282
4756335,-0.05,4757026,-0.03,4757202,-0.02,4757378,2.64,4757635,-0.38,4757811,11.86,4758072,14.12,4758333,7.20,4765478,101429,4799153,-8.90,4835972,101435,4871080,55.585696,4871132,38.081960,4871170,107.80,4871211,0.07,4871252,0.00,4871278
4889003,-0.03,4889097,-0.03,4889123,-0.02,4889149,2.54,4889176,-0.28,4889202,11.81,4889230,14.07,4889266,7.20,4895565,101431,4931222,-8.82,4966267,101439,5000078,55.585694,5000132,38.081963,5000170,107.80,5000211,0.02,5000253,0.00,5000278
5031318,-0.04,5032013,-0.03,5032189,-0.02,5032366,2.60,5032618,-0.27,5032794,11.87,5033057,14.19,5033319,7.20,5040463,101435,5075153,-9.82,5109261,101443,5144769,55.585694,5145205,38.081963,5145469,108.20,5145734,0.02,5146079,0.00,5146256
5176816,-0.01,5176907,-0.03,5176942,-0.03,5176968,2.46,5176994,-0.12,5177020,11.90,5177049,14.24,5177085,7.20,5182563,101434,5218160,-8.66,5256038,101436,5291078,55.585694,5291132,38.081963,5291170,108.20,5291211,0.02,5291252,0.00,5291278
5319404,0.01,5320097,-0.03,5320274,-0.02,5320449,2.53,5320626,-0.26,5320803,11.85,5321064,14.12,5321324,7.20,5328463,101423,5365211,-9.32,5399267,101441,5434675,55.585694,5435109,38.081966,5435372,108.50,5435711,0.03,5436057,0.00,5436233
5488797,-0.05,5488890,-0.02,5488916,-0.01,5488951,2.60,5488977,0.02,5489003,11.66,5489031,14.28,5489067,7.20,5494565,101444,5530205,-9.07,5568076,101434,5602078,55.585694,5602132,38.081967,5602170,108.60,5602211,0.03,5602252,0.00,5602278
5644892,-0.06,5645588,-0.02,5645764,-0.01,5646022,2.54,5646199,0.00,5646375,11.88,5646633,14.42,5646895,7.20,5654474,101436,5689153,-9.40,5726002,101437,5762666,55.585693,5763178,38.081969,5763445,108.90,5763711,0.04,5764056,0.00,5764231
5783677,-0.10,5783768,-0.03,5783795,-0.00,5783821,2.47,5783847,-0.06,5783873,12.00,5783901,14.41,5783945,7.20,5789563,101432,5825179,-9.82,5863054,101445,5897078,55.585693,5897132,38.081969,5897170,108.90,5897211,0.04,5897252,0.00,5897278
5934781,-0.12,5935477,-0.02,5935653,0.00,5935829,2.59,5936087,-0.08,5936264,11.79,5936522,14.30,5936784,7.20,5944448,101443,5979157,-9.40,6013277,101444,6049641,55.585691,6050155,38.081970,6050418,109.20,6050683,0.05,6051031,0.00,6051207
6078353,-0.11,6078445,-0.03,6078471,0.00,6078497,2.63,6078523,-0.31,6078550,11.82,6078578,14.14,6078614,7.20,6084561,101436,6120196,-9.07,6158071,101444,6192078,55.585691,6192132,38.081970,6192170,109.20,6192210,0.05,6192252,0.00,6192277
6225845,-0.09,6226540,-0.02,6226717,-0.01,6226893,2.66,6227151,-0.27,6227327,11.80,6227586,14.19,6227847,7.20,6235425,101433,6270157,-9.65,6304265,101438,6339672,55.585691,6340185,38.081971,6340449,109.40,6340713,0.04,6341059,0.00,6341235
6372251,-0.07,6372338,-0.03,6372368,-0.01,6372395,2.62,6372421,-0.41,6372447,11.89,6372476,14.10,6372511,7.20,6378561,101433,6412149,-9.57,6450029,101441,6485078,55.585691,6485132,38.081971,6485170,109.40,6485211,0.04,6485252,0.00,6485278
6505020,-0.06,6505113,-0.02,6505140,-0.01,6505166,2.56,6505192,-0.36,6505223,11.84,6505251,14.04,6505287,7.20,6511562,101435,6548212,-9.99,6583265,101436,6618357,55.585690,6618708,38.081972,6619055,109.60,6619320,0.04,6619661,0.00,6619838
6680093,-0.03,6680185,-0.02,6680211,-0.02,6680237,2.62,6680264,-0.48,6680290,11.92,6680322,14.06,6680358,7.20,6686562,101441,6722311,-9.40,6760011,101436,6794076,55.585690,6794134,38.081972,6794172,109.60,6794213,0.01,6794254,0.00,6794280
6813929,-0.05,6814026,-0.02,6814052,-0.02,6814078,2.54,6814105,-0.31,6814131,11.69,6814159,13.92,6814195,7.20,6821418,101441,6858170,-10.48,6892266,101435,6927704,55.585690,6928063,38.081972,6928325,109.60,6928663,0.03,6929011,0.00,6929187
6974646,-0.01,6974737,-0.03,6974764,-0.02,6974790,2.59,6974816,-0.13,6974843,11.54,6974875,13.99,6974911,7.20,6980562,101440,7014161,-9.40,7052093,101441,7087078,55.585690,7087132,38.081972,7087170,109.70,7087210,0.02,7087252,0.00,7087278
7106929,-0.03,7107026,-0.03,7107052,-0.02,7107079,2.66,7107105,-0.29,7107131,11.89,7107160,14.26,7107196,7.20,7113562,101443,7150158,-9.15,7185265,101444,7220711,55.585690,7221070,38.081972,7221333,109.50,7221671,0.04,7222018,0.00,7222194
7269331,-0.03,7269422,-0.02,7269448,-0.02,7269474,2.53,7269501,-0.15,7269527,11.87,7269559,14.25,7269596,7.20,7275562,101442,7309161,-9.90,7346020,101431,7381076,55.585690,7381134,38.081972,7381172,109.50,7381212,0.05,7381253,0.00,7381279
7400902,-0.05,7401006,-0.04,7401032,-0.02,7401058,2.68,7401085,-0.06,7401111,11.85,7401139,14.47,7401176,7.20,7407562,101433,7443222,-9.99,7478265,101442,7512080,55.585691,7512134,38.081972,7512172,109.20,7512213,0.08,7512254,0.00,7512280
7557040,-0.08,7557647,-0.03,7557823,-0.01,7558084,2.41,7558261,-0.20,7558513,12.18,7558696,14.40,7559036,7.20,7565567,101437,7599161,-9.90,7636046,101437,7671076,55.585692,7671130,38.081972,7671168,109.10,7671213,0.03,7671254,0.00,7671280
7690898,-0.09,7691001,-0.03,7691028,-0.01,7691054,2.52,7691080,-0.18,7691107,11.86,7691135,14.20,7691171,7.20,7697562,101444,7733230,-9.74,7768266,101442,7802080,55.585692,7802134,38.081972,7802172,109.10,7802212,0.02,7802254,0.00,7802280
7836091,-0.08,7836701,-0.03,7836958,-0.00,7837135,2.56,7837387,-0.14,7837563,11.78,7837745,14.20,7838088,7.20,7845404,101447,7880161,-10.24,7914271,101439,7950684,55.585692,7951118,38.081972,7951381,109.10,7951720,0.01,7952067,0.00,7952243
7979691,-0.16,7979788,-0.04,7979814,-0.00,7979840,2.28,7979866,1.18,7979893,11.46,7979929,14.93,7979966,7.20,7985561,101431,8021213,-9.49,8059089,101452,8093080,55.585692,8093134,38.081972,8093172,109.10,8093212,0.01,8093254,0.00,8093280
8125072,-0.10,8125682,-0.02,8125859,0.00,8126117,2.47,8126293,-0.43,8126470,11.87,8126725,13.91,8126992,7.20,8134476,101444,8169161,-9.99,8203269,101444,8238646,55.585692,8239082,38.081972,8239345,109.20,8239683,0.02,8240029,0.00,8240205
8275271,-0.08,8275368,-0.02,8275395,-0.01,8275421,2.61,8275447,-0.33,8275474,11.87,8275502,14.16,8275538,7.20,8281562,101438,8315153,-9.90,8353072,101443,8388080,55.585692,8388134,38.081972,8388172,109.20,8388213,0.02,8388254,0.00,8388280
