time_1,gyro_X,time_2,gyro_Y,time_3,gyro_Z,time_4,acceleration_X,time_5,acceleration_Y,time_6,acceleration_Z,time_7,Resultant g,time_8,Temperature,time_9,Pressure,time_10,Altitude,time_11,Pressure at sealevel (calculated),time_12,Latitude,time_13,Longitude,time_14,GPS_Altitude,time_15,speed,time_16,course,time_17
2825175,-0.05,2825314,-0.03,2825360,-0.04,2825405,-2.85,2825451,1.07,2825498,1.75,2825545,3.51,2825593,24.10,2831800,100583,2868597,61.96,2903698,100583,2937483,55.604406,2937559,38.106513,2937624,65.60,2937683,7.52,2937741,345.12,2937803
3015949,-0.05,3016024,-0.03,3016050,-0.04,3016076,-2.85,3016106,1.07,3016140,1.76,3016170,3.51,3016197,24.10,3021791,100592,3058209,61.54,3094422,100587,3128475,55.604432,3128520,38.106531,3128558,53.90,3128589,4.95,3128618,337.78,3128651
3140325,-0.05,3140398,-0.03,3140424,-0.10,3140451,-2.85,3140481,1.07,3140515,1.76,3140545,3.51,3140572,24.10,3146789,100591,3184222,61.29,3220570,100583,3256838,55.604437,3257187,38.106530,3257450,52.30,3257630,4.76,3257886,336.30,3258149
3329367,-0.05,3329436,-0.03,3329462,-0.04,3329488,-2.85,3329518,1.07,3329552,1.75,3329583,3.51,3329609,24.10,3335791,100591,3372179,61.96,3407577,100581,3441475,55.604439,3441521,38.106529,3441558,51.60,3441589,4.72,3441618,335.52,3441651
3460363,-0.05,3460882,-0.03,3461140,-0.04,3461317,-2.85,3461573,1.07,3461757,1.75,3462018,3.51,3462270,24.10,3470028,100591,3505527,61.46,3539570,100590,3575820,55.604446,3576169,38.106523,3576432,50.40,3576613,5.05,3576868,333.20,3577131
3599247,-0.05,3599316,-0.03,3599342,-0.04,3599368,-2.85,3599398,1.07,3599432,1.76,3599463,3.52,3599489,24.10,3605791,100591,3639531,61.29,3677560,100589,3712475,55.604446,3712521,38.106523,3712558,50.40,3712589,5.05,3712618,333.20,3712651
3775804,-0.05,3776325,-0.03,3776502,-0.04,3776755,-2.85,3776934,1.07,3777274,1.76,3777455,3.51,3777631,24.10,3785033,100588,3820527,61.63,3857432,100591,3893499,55.604458,3893547,38.106516,3893585,48.50,3893615,5.00,3893644,333.87,3893677
3905285,-0.05,3905354,-0.03,3905380,-0.04,3905406,-2.85,3905437,1.07,3905470,1.75,3905501,3.51,3905527,24.10,3911791,100583,3945531,61.54,3983590,100587,4018475,55.604458,4018523,38.106516,4018560,48.50,4018591,5.00,4018619,333.87,4018652
4085809,-0.05,4086337,-0.03,4086513,-0.10,4086765,-2.85,4086946,1.07,4087211,1.76,4087467,3.52,4087644,24.10,4093789,100582,4127527,61.54,4164593,100583,4199475,55.604467,4199521,38.106503,4199558,46.70,4199589,5.16,4199619,331.16,4199652
4211309,-0.05,4211378,-0.03,4211404,-0.04,4211430,-2.85,4211461,1.07,4211494,1.76,4211525,3.51,4211551,24.10,4217791,100591,4254172,61.96,4292417,100594,4326475,55.604470,4326521,38.106505,4326558,46.70,4326589,4.65,4326618,329.70,4326651
4346316,0.01,4346388,-0.03,4346415,-0.04,4346441,-2.85,4346471,1.07,4346505,1.76,4346535,3.51,4346562,24.20,4354012,100590,4392237,61.71,4426570,100589,4462841,55.604472,4463191,38.106510,4463454,44.90,4463635,4.43,4463890,330.02,4464153
4491406,-0.05,4491846,-0.03,4492104,-0.04,4492281,-2.85,4492461,1.07,4492495,1.75,4492525,3.51,4492552,24.20,4498791,100590,4532531,61.37,4569538,100581,4604475,55.604473,4604521,38.106510,4604558,44.30,4604589,4.33,4604618,329.56,4604651
4624302,-0.05,4624375,-0.03,4624401,-0.04,4624427,-2.85,4624457,1.07,4624491,1.75,4624522,3.51,4624548,24.20,4630789,100580,4667190,61.96,4702570,100583,4736475,55.604477,4736521,38.106508,4736558,43.50,4736588,4.34,4736618,327.77,4736650
4752080,0.01,4752519,-0.03,4752696,-0.04,4752947,-2.85,4753209,1.07,4753392,1.75,4753648,3.52,4753824,24.20,4762090,100582,4797531,62.30,4831576,100588,4867855,55.604478,4868205,38.106509,4868468,43.10,4868648,4.28,4868903,326.79,4869167
4899934,-0.11,4900012,-0.03,4900038,-0.10,4900065,-2.85,4900095,1.07,4900129,1.75,4900159,3.51,4900185,24.20,4905789,100590,4939527,61.96,4976433,100592,5011475,55.604481,5011523,38.106506,5011560,42.50,5011590,4.28,5011619,326.79,5011652
5023330,-0.11,5023401,-0.03,5023427,-0.04,5023453,-2.85,5023484,1.07,5023517,1.76,5023548,3.52,5023574,24.20,5029791,100590,5066204,61.96,5101579,100592,5135474,55.604483,5135519,38.106504,5135556,41.40,5135587,3.39,5135616,329.67,5135649
5173737,-0.05,5174347,-0.03,5174598,-0.04,5174775,-2.85,5174956,1.07,5175294,1.75,5175475,3.51,5175652,24.20,5183053,100594,5219527,61.63,5256663,100587,5292475,55.604485,5292523,38.106504,5292560,41.00,5292591,3.30,5292620,331.49,5292652
5306838,-0.05,5306913,0.03,5306939,-0.04,5306965,-2.85,5307003,1.07,5307037,1.76,5307067,3.51,5307094,24.20,5312791,100588,5346531,61.54,5385663,100588,5421475,55.604485,5421521,38.106504,5421559,41.00,5421589,3.30,5421618,331.49,5421650
5443025,-0.05,5443100,0.03,5443126,-0.04,5443152,-2.85,5443182,1.07,5443216,1.76,5443246,3.51,5443273,24.20,5450915,100589,5489233,61.54,5523576,100586,5559885,55.604490,5560236,38.106503,5560499,39.80,5560755,3.45,5560934,333.00,5561197
5591841,0.01,5592368,-0.03,5592544,-0.10,5592721,-2.85,5592974,1.07,5593239,1.76,5593420,3.51,5593673,24.20,5599791,100595,5633531,61.37,5670680,100591,5705475,55.604490,5705519,38.106500,5705556,39.30,5705587,3.51,5705616,328.75,5705648
5719152,0.01,5719227,-0.03,5719253,-0.10,5719279,-2.85,5719310,1.07,5719343,1.76,5719374,3.52,5719400,24.20,5725789,100591,5762220,61.29,5798576,100588,5832475,55.604492,5832523,38.106498,5832561,38.40,5832591,3.65,5832621,322.58,5832653
5874950,0.01,5875477,-0.09,5875654,-0.10,5875831,-2.84,5876167,1.08,5876350,1.75,5876603,3.51,5876780,24.20,5884091,100589,5919531,61.71,5956607,100591,5993724,55.604491,5993768,38.106504,5993805,37.90,5993836,3.42,5993866,320.43,5993898
6007215,0.44,6007290,0.03,6007316,-0.04,6007343,-2.86,6007373,1.14,6007407,1.74,6007437,3.53,6007464,24.20,6013789,100593,6049675,61.04,6087555,100594,6121475,55.604491,6121524,38.106504,6121562,37.90,6121593,3.42,6121622,320.43,6121655
6143043,-0.78,6143118,0.10,6143144,-0.35,6143170,-2.85,6143201,0.95,6143234,1.75,6143265,3.48,6143291,24.20,6151151,100593,6189215,61.21,6223588,100588,6259831,55.604489,6260178,38.106520,6260441,36.90,6260621,3.05,6260876,315.34,6261140
6290941,-0.85,6291023,0.16,6291050,-0.16,6291076,-2.84,6291106,1.16,6291140,1.76,6291171,3.54,6291197,24.20,6296789,100589,6330527,61.12,6367563,100592,6402475,55.604488,6402523,38.106524,6402560,36.70,6402591,2.91,6402621,313.08,6402653
6424067,0.44,6424142,-0.15,6424168,0.02,6424194,-2.85,6424225,1.11,6424259,1.75,6424289,3.53,6424316,24.20,6430791,100586,6467192,61.63,6502589,100588,6536475,55.604486,6536518,38.106526,6536556,36.40,6536587,2.78,6536616,308.01,6536649
6553751,-0.48,6554352,0.10,6554529,-0.10,6554705,-2.85,6554961,1.03,6555226,1.75,6555407,3.50,6555659,24.20,6563067,100582,6598527,61.46,6632576,100587,6668827,55.604485,6669179,38.106529,6669442,36.00,6669698,2.81,6669877,305.63,6670140
6703782,-0.11,6703855,0.03,6703882,-0.10,6703908,-2.85,6703938,1.06,6703972,1.76,6704010,3.51,6704036,24.20,6709791,100586,6743531,62.63,6782676,100583,6817471,55.604485,6817517,38.106535,6817555,35.60,6817585,2.81,6817615,305.63,6817647
6830957,0.01,6831041,-0.03,6831067,-0.10,6831093,-2.85,6831124,1.06,6831157,1.76,6831188,3.51,6831214,24.20,6836789,100590,6873168,61.12,6908579,100588,6942475,55.604483,6942521,38.106541,6942559,35.40,6942590,2.45,6942619,302.43,6942651
6985473,0.07,6985997,-0.03,6986249,-0.04,6986426,-2.85,6986605,1.09,6986864,1.76,6987125,3.52,6987302,24.20,6995131,100591,7029531,61.63,7066658,100590,7102475,55.604481,7102521,38.106541,7102558,35.40,7102589,2.41,7102619,300.19,7102651
7115946,0.13,7116029,-0.09,7116056,0.02,7116082,-2.85,7116112,1.10,7116146,1.75,7116176,3.52,7116203,24.20,7121789,100591,7158189,61.71,7196294,100587,7230475,55.604478,7230521,38.106535,7230559,35.40,7230589,2.46,7230619,293.60,7230651
7261223,-0.30,7261741,0.03,7261917,-0.10,7262175,-2.85,7262356,1.04,7262615,1.75,7262872,3.51,7263054,24.20,7271144,100586,7306531,61.96,7340587,100590,7376884,55.604475,7377234,38.106529,7377497,35.50,7377677,2.56,7377932,288.84,7378195
7402820,-0.24,7402895,0.03,7402921,-0.10,7402948,-2.85,7402978,1.05,7403020,1.76,7403050,3.51,7403077,24.20,7408789,100577,7442527,61.04,7480595,100588,7515475,55.604475,7515525,38.106529,7515563,35.50,7515593,2.56,7515622,288.84,7515655
7529098,0.01,7529173,-0.03,7529200,-0.04,7529226,-2.85,7529256,1.08,7529290,1.76,7529320,3.52,7529347,24.20,7535791,100595,7572226,61.37,7608588,100591,7642475,55.604467,7642519,38.106519,7642557,35.60,7642588,2.75,7642617,277.99,7642650
7679335,-0.11,7679862,-0.03,7680118,-0.10,7680294,-2.85,7680549,1.07,7680733,1.76,7681071,3.52,7681248,24.20,7689003,100590,7723527,61.37,7760685,100589,7796725,55.604465,7796773,38.106521,7796811,35.70,7796841,2.65,7796871,276.53,7796904
7811081,0.01,7811156,-0.09,7811182,-0.04,7811208,-2.85,7811239,1.08,7811272,1.75,7811303,3.52,7811329,24.20,7817791,100591,7854190,61.21,7891923,100594,7925475,55.604462,7925519,38.106527,7925557,35.70,7925588,2.58,7925617,275.48,7925650
7946919,-0.11,7947002,-0.03,7947028,-0.10,7947054,-2.85,7947085,1.06,7947118,1.75,7947149,3.51,7947175,24.20,7954075,100595,7992211,61.12,8026579,100591,8062817,55.604459,8063169,38.106523,8063432,35.60,8063688,2.70,8063867,273.49,8064130
8093220,-0.05,8093295,-0.03,8093321,-0.10,8093348,-2.85,8093378,1.07,8093412,1.75,8093442,3.51,8093469,24.20,8099791,100593,8133531,61.21,8170677,100596,8205475,55.604455,8205519,38.106516,8205556,35.60,8205587,2.90,8205616,270.55,8205649
8227037,-0.05,8227112,0.03,8227138,-0.04,8227164,-2.85,8227195,1.07,8227228,1.75,8227259,3.51,8227285,24.20,8233789,100595,8270183,60.79,8305578,100600,8339474,55.604454,8339523,38.106521,8339560,35.20,8339591,2.62,8339621,270.80,8339653
8356776,-0.05,8357376,-0.03,8357553,-0.04,8357729,-2.85,8357993,1.07,8358252,1.76,8358507,3.51,8358684,24.20,8366082,100591,8401531,61.04,8435588,100595,8471865,55.604454,8472215,38.106525,8472478,35.00,8472659,2.50,8472913,272.88,8473177
